"cellid","center_x","center_y","slice_id","sample_id","class_label","subclass","label"
2.93356705253139e+38,2491.46909744893,1996.17014278752,"mouse1_slice91","mouse1_sample2","GABAergic","Sst","Sst_7"
2.93368601018587e+38,-4226.53738520718,-3643.62293160933,"mouse1_slice62","mouse1_sample2","Other","PVM","PVM"
2.93379497976515e+38,6270.61973198653,-2369.76429827455,"mouse1_slice81","mouse1_sample2","Other","VLMC","VLMC"
2.9339071308918e+38,-5377.3454306588,-4848.18307916553,"mouse1_slice62","mouse1_sample2","Glutamatergic","L5 ET","L5_ET_4"
2.93391091396862e+38,3620.78936147706,1977.42895240037,"mouse1_slice91","mouse1_sample2","Other","Astro","Astro_1"
2.93392613714204e+38,-3206.06878622897,2446.98664207925,"mouse1_slice102","mouse1_sample2","Other","Oligo","Oligo_1"
2.93416920115069e+38,6129.20108566528,-3411.87147535276,"mouse1_slice81","mouse1_sample2","Glutamatergic","L6 IT Car3","L6_IT_Car3"
2.93417783504485e+38,759.441084089409,-1831.50240993725,"mouse1_slice71","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
2.93439303025335e+38,3496.06069196604,3063.13435257481,"mouse1_slice91","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_3"
2.9345143440825e+38,-2662.73449870957,2141.72844734931,"mouse1_slice102","mouse1_sample2","Other","Peri","Peri"
2.93461398251265e+38,-5467.76645959819,-2959.19968171098,"mouse1_slice62","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_4"
2.93480506891406e+38,3555.94333378424,3386.88538714264,"mouse1_slice91","mouse1_sample2","Glutamatergic","L6b","L6b_1"
2.93481166800201e+38,-5448.81131815264,-4600.09375516075,"mouse1_slice62","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_7"
2.93482360135872e+38,5993.09775711362,-3821.31092915667,"mouse1_slice81","mouse1_sample2","Glutamatergic","L6 IT","L6_IT_3"
2.93493212554488e+38,1757.68948528573,-3074.49462073676,"mouse1_slice71","mouse1_sample2","Other","Endo","Endo"
2.93495311785559e+38,-2285.44710235759,2043.23662628378,"mouse1_slice102","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_1"
2.9354028827346e+38,-5385.70410928953,-3802.0708834003,"mouse1_slice62","mouse1_sample2","Glutamatergic","L5 ET","L5_ET_5"
2.93543315722063e+38,-4746.71786489367,-3992.55008724362,"mouse1_slice62","mouse1_sample2","Other","Astro","Astro_1"
2.93565926572117e+38,187.372639160059,-2672.86042729913,"mouse1_slice71","mouse1_sample2","Other","Astro","Astro_1"
2.93569387802496e+38,1290.39865715691,-2490.9828771772,"mouse1_slice71","mouse1_sample2","Glutamatergic","L5 IT","L5_IT_1"
2.93601554314704e+38,-2482.23156672235,2746.97104471113,"mouse1_slice102","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_2"
2.93610737227245e+38,3156.01752478271,1788.56755185489,"mouse1_slice91","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_3"
2.93614239877573e+38,-3508.18219146067,2789.46657814006,"mouse1_slice102","mouse1_sample2","Other","Oligo","Oligo_1"
2.93627581136735e+38,348.273826257759,-3089.76625980022,"mouse1_slice71","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_1"
2.93642057653612e+38,5115.02877076638,-4178.42466520766,"mouse1_slice81","mouse1_sample2","Other","Endo","Endo"
2.93644023549818e+38,5712.31952535934,-2370.11457795944,"mouse1_slice81","mouse1_sample2","Other","VLMC","VLMC"
2.93653026152403e+38,NA,NA,"mouse1_slice71","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_1"
2.93661626664292e+38,2985.54849359766,1644.13574593767,"mouse1_slice91","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_1"
2.93663282860519e+38,131.953901013781,-1947.86047968215,"mouse1_slice71","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_1"
2.93669182533004e+38,3644.84167916984,1845.22733089635,"mouse1_slice91","mouse1_sample2","Glutamatergic","L4/5 IT","L45_IT_1"
2.93704895530365e+38,-5512.82369939643,-3430.43984451162,"mouse1_slice62","mouse1_sample2","Other","Micro","Micro_1"
2.93714741336228e+38,4618.31597414475,2954.60600329967,"mouse1_slice91","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_4"
2.93716974729395e+38,6286.92652784103,-4189.2036696099,"mouse1_slice81","mouse1_sample2","Glutamatergic","L6 IT","L6_IT_2"
2.93729666201154e+38,-4231.22470699644,1781.57771097148,"mouse1_slice102","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
2.93729678301764e+38,-4112.91737680836,-4261.17444655521,"mouse1_slice62","mouse1_sample2","Other","Astro","Astro_1"
2.93747583972657e+38,4520.62876239258,-3740.30003943667,"mouse1_slice81","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
2.93754774721378e+38,233.877174612794,-2828.00704569377,"mouse1_slice71","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_3"
2.93772137664101e+38,830.81200414985,-1615.32459758787,"mouse1_slice71","mouse1_sample2","Other","VLMC","VLMC"
2.93780049101959e+38,-5528.31291603389,-4556.91851597973,"mouse1_slice62","mouse1_sample2","Glutamatergic","L6 CT","L6_CT_3"
2.93799472777579e+38,1174.9721627481,-2418.2394755294,"mouse1_slice71","mouse1_sample2","Other","Endo","Endo"
2.93804636441364e+38,-4934.45380374816,-4852.63977858608,"mouse1_slice62","mouse1_sample2","Glutamatergic","L5 IT","L5_IT_2"
2.93807283479643e+38,5356.05100465617,-4099.83482577469,"mouse1_slice81","mouse1_sample2","Glutamatergic","L6 IT","L6_IT_3"
2.93815782153356e+38,-5499.89505644366,-4441.11241914259,"mouse1_slice62","mouse1_sample2","Other","Endo","Endo"
2.93828189180656e+38,4607.58311747269,2893.60295933356,"mouse1_slice91","mouse1_sample2","Other","Astro","Astro_1"
2.93838664124939e+38,1999.73602965453,-2680.41810074641,"mouse1_slice71","mouse1_sample2","Other","Endo","Endo"
2.9384791948632e+38,4494.65245348662,2534.85918464818,"mouse1_slice91","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_4"
2.9385466286964e+38,-1559.54944976776,2795.03855352372,"mouse1_slice102","mouse1_sample2","Other","Astro","Astro_1"
2.93888483233087e+38,2146.15635223086,-2884.63365187737,"mouse1_slice71","mouse1_sample2","Glutamatergic","L2/3 IT","L23_IT_1"
2.93888744045468e+38,-2648.48712232753,3348.44701031795,"mouse1_slice102","mouse1_sample2","Other","Astro","Astro_2"
2.93909701962706e+38,425.565564528572,-3469.24674702646,"mouse1_slice71","mouse1_sample2","Glutamatergic","L6 IT","L6_IT_3"
2.93916583650568e+38,4728.93278449525,-3961.70862084397,"mouse1_slice81","mouse1_sample2","Other","Endo","Endo"
2.93922804348925e+38,3335.10556666558,3360.499009031,"mouse1_slice91","mouse1_sample2","Other","Astro","Astro_2"
